Date,Client,Product,Quantity,Price
20/07/2020,00001 CLIENTE CONTADO,"['KERRYGOLD Pure Irish Butter 8oz 227g ', 'LAS TIAS Tequeños Mini Queso 25 UNID ', 'NATURE VALLEY Fruit Nut 1.2oz 35g ', 'BREYERS Oreo 473ml ', 'HEBREW NATIONAL beff franks ', 'LES AMIS DE salsa cafe de paris 8 oz ', 'GOUDA CHEESE Dutch Tradition ', 'LIPTON Iced Tea Unsweetened 3oz 85g ', 'LES AMIS DE salsa de paris 16oz ']","[1, 1, 3, 1, 2, 1, 1, 1, 1]","[1240800.0, 1862400.0, 309600.0, 2688000.0, 1449600.0, 1447200.0, 5587200.0, 1656000.0, 2894400.0]"
20/07/2020,00001 CLIENTE CONTADO,"['BIRDS EYE Riced Cauliflower veggie 10oz ', 'FINCA rugula 60g ', 'DANAIK Varios ', 'ATUN ROJO X KILO ']","[1, 1, 4, 0.33]","[1447200.0, 278571.43, 1447200.0, 6412800.0]"
20/07/2020,00005 ERICK BENARROCH,['TORONDOY mantequilla con sal 200g '],[3],[480000.0]
20/07/2020,00001 CLIENTE CONTADO,"['SIVA Musli Granola NAT/PASA/CHOCO 450gr ', 'YOY FOODS Xilitol 200g ', 'KANIU yogurt de ccoco VEGANO 200g ', 'EL ENCANTO tequeño de platano/queso ', 'DANAIK Varios ']","[1, 1, 2, 1, 3]","[2111900.0, 1055950.0, 632100.0, 1898750.0, 1477350.0]"
20/07/2020,00001 CLIENTE CONTADO,"['THE HALTHY MOVE  teque chocolate ', 'VGAN FRUIT coco crunch 500ml ', 'LA LUCHA harina de avena 400g ', 'KABALANCE Dulce de Leche POTE ', 'BASED RAW Crema Avellanas Cacao ', 'ANANKE Caprigurt  Cambur y Fresa 430g ', 'TORONDOY mantequilla con sal 200g ']","[1, 1, 1, 1, 1, 1, 1]","[3799950.0, 1477350.0, 398668.51, 2744000.0, 4645200.0, 1477350.0, 490000.0]"
20/07/2020,00001 JOSE LIDUEÑA,['ACAI Organic 12 superfruit pack 42oz '],[9],[6759550.0]
20/07/2020,00001 CLIENTE CONTADO,"['MUNCHIES FIT Tortas Varias ', 'KALAN MATCHA ', 'MIJAO SEEDS Manteqlla Merey Natural 425g ']","[1, 1, 1]","[1688050.0, 1055950.0, 2975666.67]"
20/07/2020,00001 CLIENTE CONTADO,['KRAFT Singles American 24  Slices '],[6],[1477350.0]
20/07/2020,00001 CLIENTE CONTADO,['KIRKLAND Honey roasted peanuts 40oz '],[1],[4434500.0]
20/07/2020,00001 CLIENTE CONTADO,['Frescolita Lata 355ml '],[1],[166904.76]
20/07/2020,00001 CLIENTE CONTADO,"['BELVITA Biscuit Blueberry 50g ', 'THIN addictives Cookies 3 UNI ']","[30, 5]","[213150.0, 423850.0]"
20/07/2020,00001 CLIENTE CONTADO,"['BLUE diamons Almond Breeze choco 946ml ', 'YOY FOODS Estevia 180g ', 'SPLENDA Zero Liquid 1.68oz 50ml ', 'FINCA DOS AGUAS Tomates Cocktail ', 'ARTE CARNE Carpaccio Carne 5 unid ']","[2, 1, 1, 1, 1]","[1055950.0, 1055950.0, 1898750.0, 500000.0, 3799950.0]"
20/07/2020,00001 CLIENTE CONTADO,"['DEL DESTINO Red Peppers 46oz ', 'KALAN NUT ', 'KALAN AMARANTH ', 'KALAN CHOCOLATE ', 'VEGA SOTUELAMOS Q. Oveja Trufado ', 'MALDITA Bellota  Jamon serrano ', 'LAS TIAS Tequeños Queso 40 unid ', 'ROSARA pimientos del piquillo 250g ', 'LA REAL WRAPS Spinach 15oz 425.24g ', 'PHILADELPHIA Original BARRA 8oz ', 'LUCKY CHARMS Unicorn 10.5oz 297g ']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1]","[6335700.0, 1055950.0, 1055950.0, 1055950.0, 2325050.0, 2746450.0, 3802400.0, 2322600.0, 1055950.0, 1055950.0, 1477350.0]"
20/07/2020,00001 CLIENTE CONTADO,"['CRYSTAL LIGHT DECAF Lemon 6 unid ', 'TALENTI caramel cookie crunh ', 'TALENTI Southern butter pecan ']","[1, 1, 1]","[1266650.0, 2111900.0, 2111900.0]"
20/07/2020,00001 CLIENTE CONTADO,"['BIMBO Pan Blanco 500g ', 'TRADER JOES Nutricional Yeast 113G ', 'MIJAO SEEDS Manteqlla Merey Cacao 425g ', 'LIBELULAS Sandwich  con o sin huevo ', 'LIBELULAS Duos Con o Sin Huevo ', 'KANIU yogurt de ccoco VEGANO 200g ']","[1, 1, 1, 1, 1, 1]","[413500.0, 1477350.0, 3238333.33, 1055950.0, 632100.0, 632100.0]"
20/07/2020,00001 CLIENTE CONTADO,['CRYSTAL LIGHT DECAF Lemon 6 unid '],[1],[1266650.0]
20/07/2020,00001 CLIENTE CONTADO,"['KRUSTEAZ GF Muffin Honey Cornbread 15oz ', 'TALENTI caramel cookie crunh ', 'THE REAL Coconut Tortilla C Pink 5.5oz ']","[1, 1, 1]","[2111900.0, 2111900.0, 2954700.0]"
20/07/2020,00013 MERMA,['PEZ Y AMOR lomo de robalo x kilo '],[0.355],[4855900.0]
20/07/2020,00001 CLIENTE CONTADO,"['BLUE diamons Almond Breeze choco 946ml ', 'SPLENDA Zero Liquid 1.68oz 50ml ', 'HEINZ No Sugar Added Tomato 13oz 369g ', 'MAPLE GROVE FARMS Maple flavor 355ml ', 'GOYA MARIA COOKIES sugar free 200g ', 'NATURINAS  choco mani 190g ', 'TRADER JOES Bagel sesame 2.3 oz 65g ', 'ROS KETO Seeds Bread ']","[2, 1, 1, 1, 1, 1, 1, 1]","[1055950.0, 1898750.0, 1478330.0, 1269100.0, 1688050.0, 845250.0, 1053500.0, 4645200.0]"
20/07/2020,00001 CLIENTE CONTADO,"['LIPTON Te Limon 1.5L ', 'LIPTON Te Limon 1.5L ', 'VGAN FRUIT coco crunch 500ml ', 'MY PLATAIN CAKE varios 300G ', 'LIBELULAS Sandwich  con o sin huevo ']","[1, 1, 2, 1, 6]","[450487.69, 450487.69, 1477350.0, 1477350.0, 1055950.0]"
20/07/2020,00005 ERICK BENARROCH,"['KRAFT Singles American 24  Slices ', 'PHILADELPHIA Original BARRA 8oz ', 'LAS TIAS Tequeños Queso 40 unid ', 'GOUDA CHEESE Dutch Tradition ', 'NESTLE  NESCAFE Clasico 200G ', 'SWEET BABY RAYS Barbecue Sauce 40oz ', 'CRYSTAL LIGHT Rasberry Ice Tea 1.6oz 45g ', 'CRYSTAL LIGHT DECAF Lemon 6 unid ', 'NESTLE Nesquik Choco No Sugar Added 16oz ', 'BASED RAW Granola vainilla-canela ', 'MIJAO SEEDS Merey  CON/SIN sal ', 'NARU Pistachos tostados son sal 400g ', 'PLUMROSE Tocineta Rebanada X KILO ', 'EVEBA ATUN SOLIDO en aceite vegetal 140g ', 'MILKA caramel 20g ', 'TWIX two right 50.7g ', 'REESE S 42g ', 'M M Peanut 49.3g ']","[2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0.874, 6, 1, 3, 2, 1]","[1477350.0, 1055950.0, 3802400.0, 5703600.0, 3167850.0, 1688050.0, 1477350.0, 1266650.0, 2533300.0, 2111900.0, 1477350.0, 2322600.0, 3167850.0, 392000.0, 632100.0, 421400.0, 423850.0, 421400.0]"
20/07/2020,00002 ALEXIS,['MUNCHIES FIT GALLETAS/ALFAJORES '],[1],[1055950.0]
20/07/2020,00001 CLIENTE CONTADO,"['GOOD HUMOR Giant vainilla ', 'POPCORNERS white cheddar 28g ']","[1, 1]","[634550.0, 423850.0]"
20/07/2020,00001 CLIENTE CONTADO,"['TOSTITOS Original 140g ', 'COCA COLA 2 L ']","[1, 1]","[127113.8, 380476.19]"
20/07/2020,00001 CLIENTE CONTADO,"['JACKS Mni Salado 175g ', 'GOOD HUMOR Giant vainilla ', 'YUKERY Naranja 1.5 litros ', 'COCA COLA 2 L ', 'EL ENCANTO tequeño nutella ', 'EL ENCANTO tequeño de platano/queso ']","[1, 5, 1, 1, 1, 1]","[323406.91, 634550.0, 520653.2, 380476.19, 1898750.0, 1898750.0]"
20/07/2020,00001 CLIENTE CONTADO,"['ST MORITZ Choco Leche Sin Azucar 100g ', 'NATURINAS mantequilla de mani 490g ', 'NUTI LIGHT Hazelnut DARK Choco 312g ']","[3, 1, 1]","[632100.0, 1477350.0, 2111900.0]"
20/07/2020,00001 CLIENTE CONTADO,['SALAR Salmon chile X KILO '],[0.239],[6125000.0]
20/07/2020,00001 CLIENTE CONTADO,['COCA COLA Sabor Ligerto LATA 355ml '],[3],[143856.9]
20/07/2020,00001 CLIENTE CONTADO,"['LA PASTOREÑA Te Limon 1 L ', 'LA PASTOREÑA Te Durazno 1 L ', 'LA PASTOREÑA Te Durazno 1 L ', 'LA PASTOREÑA Te Limon 1 L ', 'CRAIZE BOLSA Roasted Corn 4oz 113g ', 'CRYSTAL LIGHT Rasberry Ice Tea 1.6oz 45g ', 'CRYSTAL LIGHT Fruit Punch 38g ', 'HEALTH YEAH FOOD Ghee 200gr ', 'NATURES CHARM Coconut Milk 11.25oz 320g ']","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[274400.0, 274400.0, 274400.0, 274400.0, 1266650.0, 1477350.0, 1266650.0, 2535750.0, 1688050.0]"
